X,Y,countX,countY,meanX,varianceX,meanY,varianceY
3,10,3,10,2.1940519866666666E8,4.2080977588688885E11,2.219518965E8,2.768856217723825E13
3,20,3,20,2.1914251366666666E8,1.367494527152889E12,2.187350193E8,1.015207178680741E13
3,30,3,30,2.20560559E8,1.5386207573114E13,2.1840434846666667E8,9.261381603884514E12
5,10,5,10,2.169627466E8,1.45737221166704E12,2.19102551E8,5.8960188798244E12
5,20,5,20,2.196002858E8,7.058893822610959E12,2.1871677005E8,5.005722884310348E12
5,30,5,30,2.172966532E8,1.7756845032661597E12,2.191487356E8,1.1491557340620709E13
10,10,10,10,2.200026631E8,3.3419147455319492E13,2.175950783E8,1.8383422837052102E12
10,20,10,20,2.197545561E8,1.4958423856875291E13,2.1748738115E8,1.4683434748980276E12
10,30,10,30,2.190640156E8,2.1215240173954242E13,2.184339498E8,4.899761516009229E12
